,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
136,Coraline,"Animation, Drama, Family",7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,242075,$75.29M,Rain
137,A Simple Favor,"Comedy, Crime, Mystery",6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig,154490,$53.55M,Rain
138,Cleopatra,"Biography, Drama, History",7.0,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,Joseph L. Mankiewicz,35353,$57.78M,Rain
139,WALL·E,"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,1140441,$223.81M,Rain
140,Heojil kyolshim,"Crime, Drama, Mystery",7.3,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,Park Chan-wook,41360,,Rain
141,The Lighthouse,"Drama, Fantasy, Mystery",7.4,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,Robert Eggers,230336,$0.43M,Rain
142,Predestination,"Action, Drama, Sci-Fi",7.4,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",Michael Spierig,290697,$0.07M,Rain
143,Cast Away,"Adventure, Drama, Romance",7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,608220,$233.63M,Rain
144,X-Men,"Action, Adventure, Sci-Fi",7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer,626602,$157.30M,Rain
145,Zwartboek,"Drama, Thriller, War",7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Paul Verhoeven,78401,$4.40M,Rain
146,Emily the Criminal,"Crime, Drama, Thriller",6.7,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",John Patton Ford,41971,,Rain
147,It Chapter Two,"Drama, Fantasy, Horror",6.5,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Andy Muschietti,279112,$211.59M,Rain
148,Labyrinth,"Adventure, Family, Fantasy",7.3,Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,Jim Henson,142652,$12.73M,Rain
149,The King's Speech,"Biography, Drama, History",8.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,691149,$138.80M,Rain
150,Me Before You,"Drama, Romance",7.4,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,Thea Sharrock,265767,$56.25M,Rain
151,It Follows,"Horror, Mystery, Thriller",6.8,A young woman is followed by an unknown supernatural force after a sexual encounter.,David Robert Mitchell,252175,$14.67M,Rain
152,Suspiria,"Drama, Fantasy, Horror",6.7,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Luca Guadagnino,84124,$2.47M,Rain
153,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",7.4,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,Christopher McQuarrie,383073,$195.04M,Rain
154,Hot Fuzz,"Action, Comedy, Mystery",7.8,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",Edgar Wright,516368,$23.64M,Rain
155,(500) Days of Summer,"Comedy, Drama, Romance",7.7,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",Marc Webb,529716,$32.39M,Rain
156,V for Vendetta,"Action, Drama, Sci-Fi",8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,1139284,$70.51M,Rain
157,Under the Skin,"Drama, Horror, Mystery",6.3,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Jonathan Glazer,149039,$2.61M,Rain
158,Singin' in the Rain,"Comedy, Musical, Romance",8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen,248483,$8.82M,Rain
159,Men,"Drama, Fantasy, Horror",6.1,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Alex Garland,50736,,Rain
160,Minority Report,"Action, Crime, Mystery",7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Steven Spielberg,564464,$132.07M,Rain
161,Cape Fear,"Crime, Thriller",7.3,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",Martin Scorsese,203572,$79.10M,Rain
162,Up,"Animation, Adventure, Comedy",8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,1067109,$293.00M,Rain
163,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",7.8,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.,David Fincher,473573,$102.52M,Rain
164,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Alejandro G. Iñárritu,644610,$42.34M,Rain
165,Moonfall,"Action, Adventure, Sci-Fi",5.1,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Roland Emmerich,87622,$19.06M,Rain
166,Hercules,"Animation, Adventure, Comedy",7.3,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,Ron Clements,240339,$99.05M,Rain
167,Pan's Labyrinth,"Drama, Fantasy, War",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,680040,$37.63M,Rain
168,Jumanji,"Adventure, Comedy, Family",7.0,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,357512,$100.48M,Rain
169,Once Upon a Time in the West,Western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,336561,$5.32M,Rain
170,Exodus: Gods and Kings,"Action, Adventure, Drama",6.0,"The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",Ridley Scott,172661,$65.01M,Rain
171,Knowing,"Action, Mystery, Sci-Fi",6.2,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,Alex Proyas,239996,$79.96M,Rain
172,Van Helsing,"Action, Adventure, Fantasy",6.0,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.",Stephen Sommers,274032,$120.18M,Rain
173,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,551022,$1.23M,Rain
174,The Machinist,"Drama, Thriller",7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Brad Anderson,400301,$1.08M,Rain
175,We Need to Talk About Kevin,"Drama, Mystery, Thriller",7.5,"Kevin's mother struggles to love her strange child despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,160364,$1.74M,Rain
176,Deep Impact,"Action, Drama, Sci-Fi",6.2,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",Mimi Leder,183044,$140.46M,Rain
177,3:10 to Yuma,"Action, Crime, Drama",7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,James Mangold,319767,$53.61M,Rain
178,Beautiful Boy,"Biography, Drama",7.3,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",Felix van Groeningen,86033,$7.65M,Rain
179,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,562909,$301.96M,Rain
180,Salinui chueok,"Crime, Drama, Mystery",8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,195037,$0.01M,Rain
181,1408,"Fantasy, Horror, Mystery",6.8,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",Mikael Håfström,281317,$71.99M,Rain
182,Monster,"Animation, Crime, Drama",8.7,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,Hidenobu Kiuchi,35341,,Rain
183,Amadeus,"Biography, Drama, Music",8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,409107,$51.97M,Rain
184,Friday the 13th,"Horror, Mystery, Thriller",6.4,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.",Sean S. Cunningham,146038,$39.75M,Rain
185,Mrs. Harris Goes to Paris,"Comedy, Drama",7.1,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own.",Anthony Fabian,18848,,Rain
186,The Rocky Horror Picture Show,"Comedy, Horror, Musical",7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,Jim Sharman,157544,$139.88M,Rain
